source,target,type,criticality,is_discovered
core_banking_api_gateway,account_mgmt_service,Sync,High,false
core_banking_api_gateway,deposit_service,Sync,High,false
core_banking_api_gateway,loan_origination_service,Sync,Medium,false
core_banking_api_gateway,loan_servicing_service,Sync,Medium,false
account_mgmt_service,core_ledger_mainframe,Sync,High,false
deposit_service,core_ledger_mainframe,Sync,High,false
loan_origination_service,core_ledger_mainframe,Sync,High,false
loan_servicing_service,interest_calc_engine,Sync,High,false
interest_calc_engine,core_ledger_mainframe,Sync,High,false
core_ledger_mainframe,core_banking_db,DB,High,false
core_ledger_mainframe,general_ledger_db,DB,High,false
account_mgmt_service,core_banking_cache,DB,Medium,false
teller_system,core_ledger_mainframe,Sync,High,false
branch_middleware,teller_system,Sync,Medium,false
branch_middleware,core_banking_api_gateway,Sync,Medium,false
ach_processor,core_ledger_mainframe,Sync,High,false
wire_transfer_service,swift_gateway,Sync,High,false
wire_transfer_service,core_ledger_mainframe,Sync,High,false
ach_processor,core_event_bus,MQ,Medium,false
wire_transfer_service,core_event_bus,MQ,Medium,false
core_fraud_detection,core_event_bus,MQ,High,false
regulatory_reporting_service,core_event_bus,MQ,Medium,false
regulatory_reporting_service,general_ledger_db,DB,Medium,false
batch_settlement_job,core_ledger_mainframe,Sync,High,false
batch_settlement_job,general_ledger_db,DB,High,false
archive_service,core_banking_db,DB,Low,false
payments_api_gateway,card_issuing_service,Sync,High,false
payments_api_gateway,card_processing_engine,Sync,High,false
payments_api_gateway,pos_integration_service,Sync,Medium,false
card_processing_engine,tokenization_service,Sync,High,false
card_processing_engine,payment_gateway_visanet,Sync,High,false
card_processing_engine,payments_ledger_db,DB,High,false
card_issuing_service,payments_db,DB,Medium,false
tokenization_service,payments_cache,DB,Medium,false
merchant_onboarding_service,payments_db,DB,Low,false
pos_integration_service,payment_gateway_stripe,Sync,High,false
dispute_management_service,payments_ledger_db,DB,Medium,false
dispute_management_service,chargeback_service,Sync,Medium,false
chargeback_service,payments_ledger_db,DB,Medium,false
card_processing_engine,payments_fraud_ml_service,Sync,High,false
payments_fraud_ml_service,risk_scoring_service,Sync,High,false
risk_scoring_service,payments_event_bus,MQ,Medium,false
card_processing_engine,payments_event_bus,MQ,Medium,false
settlement_batch_service,payments_event_bus,MQ,Medium,false
settlement_batch_service,payments_ledger_db,DB,High,false
settlement_batch_service,core_ledger_mainframe,Sync,High,false
recurring_billing_service,card_processing_engine,Sync,Medium,false
payments_notification_service,payments_event_bus,MQ,Low,false
payments_reporting_service,payments_ledger_db,DB,Low,false
mobile_banking_app,digital_identity_service,Sync,High,false
web_banking_portal,digital_identity_service,Sync,High,false
mobile_banking_app,customer_profile_service,Sync,High,false
web_banking_portal,customer_profile_service,Sync,High,false
customer_profile_service,customer_db,DB,High,false
mobile_banking_app,session_service,DB,Medium,false
web_banking_portal,session_service,DB,Medium,false
mobile_banking_app,biometric_auth_service,Sync,High,false
digital_onboarding_service,customer_profile_service,Sync,High,false
digital_onboarding_service,digital_identity_service,Sync,High,false
mobile_banking_app,core_banking_api_gateway,Sync,High,false
web_banking_portal,core_banking_api_gateway,Sync,High,false
mobile_banking_app,payments_api_gateway,Sync,High,false
web_banking_portal,payments_api_gateway,Sync,High,false
mobile_banking_app,card_control_service,Sync,Medium,false
card_control_service,card_processing_engine,Sync,Medium,false
mobile_banking_app,chatbot_service,Sync,Low,false
chatbot_service,customer_support_ticketing,Sync,Medium,false
mobile_banking_app,notification_service,Async,Medium,false
notification_service,digital_event_bus,MQ,Medium,false
web_banking_portal,statements_service,Sync,Medium,false
statements_service,statements_db,DB,Medium,false
mobile_banking_app,budgeting_tools_service,Sync,Low,false
budgeting_tools_service,digital_analytics_service,Async,Low,false
digital_analytics_service,marketing_automation,Sync,Low,false
atm_network_gateway,core_banking_api_gateway,Sync,High,false
mobile_banking_app,feature_flag_service,Sync,Low,false
web_banking_portal,feature_flag_service,Sync,Low,false
hris_core,hr_db,DB,High,false
payroll_service,hris_core,Sync,High,false
payroll_service,payroll_db,DB,High,false
payroll_service,ach_processor,Sync,High,false
benefits_admin_service,hris_core,Sync,Medium,false
hris_core,identity_sso_service,Sync,High,false
identity_sso_service,active_directory,DB,High,false
digital_identity_service,identity_sso_service,Sync,High,false
hris_core,email_exchange_service,Sync,Low,false
hr_analytics_service,hr_db,DB,Low,false
hris_core,recruiting_ats_service,Sync,Low,false
timesheet_service,hris_core,Sync,Medium,false
timesheet_service,payroll_service,Sync,Medium,false
expense_management_service,payroll_service,Sync,Medium,false
hris_core,enterprise_service_bus,MQ,High,false
payroll_service,enterprise_service_bus,MQ,Medium,false
enterprise_search_service,shared_file_storage,DB,Low,false
procurement_service,procurement_db,DB,Medium,false
procurement_service,vendor_management_service,Sync,Medium,false
procurement_service,purchase_order_service,Sync,Medium,false
purchase_order_service,erp_monolith,Sync,High,false
erp_monolith,erp_db,DB,High,false
invoice_processing_service,erp_monolith,Sync,High,false
invoice_processing_service,ach_processor,Sync,High,false
vendor_management_service,supplier_portal,Sync,Low,false
contract_management_service,erp_monolith,Sync,Medium,false
inventory_service,inventory_db,DB,Low,false
inventory_service,warehouse_mgmt_service,Sync,Low,false
warehouse_mgmt_service,logistics_tracking_service,Sync,Low,false
procurement_service,procurement_event_bus,MQ,Low,false
purchase_order_service,procurement_event_bus,MQ,Low,false
asset_management_service,erp_monolith,Sync,Medium,false
asset_management_service,inventory_db,DB,Low,false
erp_monolith,core_ledger_mainframe,Sync,High,false
