source,target,type,criticality,is_discovered
dns_router,waf_security,Sync,High,false
waf_security,api_gateway,Sync,High,false
api_gateway,customer_portal,Sync,High,false
api_gateway,mobile_backend,Sync,High,false
api_gateway,admin_dashboard,Sync,Medium,false
monolith,search_engine,Sync,Medium,false
monolith,catalog_service,Sync,High,false
monolith,user_service,Sync,High,false
user_service,user_db,DB,High,false
order_service,order_db,DB,High,false
order_service,user_service,Sync,High,false
order_service,payment_adaptor,Sync,High,false
order_service,kafka_event_hub,MQ,Medium,false
catalog_service,catalog_db,DB,High,false
inventory_manager,inventory_db,DB,High,false
search_engine,catalog_db,DB,Medium,false
notification_service,kafka_event_hub,MQ,Low,false
recommendation_engine,analytics_warehouse,DB,Medium,false
recommendation_engine,catalog_service,Sync,Medium,false
analytics_warehouse,kafka_event_hub,MQ,Low,false
monolith,inventory_db,DB,High,true
order_service,inventory_manager,Sync,High,false
inventory_manager,order_service,Sync,High,false
mobile_backend,customer_service,Sync,High,false
mobile_backend,order_service,Sync,High,false
mobile_backend,cart_service,Sync,High,false
customer_portal,customer_service,Sync,High,false
customer_portal,order_service,Sync,High,false
customer_portal,cart_service,Sync,High,false
cart_service,cart_cache,DB,High,false
order_service,cart_service,Sync,Medium,false
order_service,pricing_engine,Sync,High,false
pricing_engine,pricing_db,DB,High,false
pricing_engine,coupon_service,Sync,Medium,false
coupon_service,order_db,DB,Medium,false
order_service,shipping_service,Sync,High,false
shipping_service,shipping_db,DB,High,false
shipping_service,tax_calculator,Sync,Medium,false
shipping_service,kafka_event_hub,MQ,Medium,false
review_service,review_db,DB,Low,false
review_service,catalog_service,Sync,Low,false
customer_service,customer_db,DB,High,false
customer_service,email_gateway,Sync,Low,false
customer_service,sms_gateway,Sync,Low,false
payment_adaptor,fraud_detector,Sync,High,false
order_service,ledger_mainframe,Sync,High,false
ledger_mainframe,ledger_db,DB,High,false
accounting_service,ledger_db,DB,High,false
accounting_service,accounting_db,DB,High,false
audit_logger,audit_db,DB,Medium,false
api_gateway,audit_logger,Sync,Medium,false
accounting_service,audit_logger,Sync,Medium,false
reporting_service,accounting_db,DB,High,false
reporting_service,bi_dashboard,Sync,Medium,false
etl_pipeline,data_lake,DB,Low,false
etl_pipeline,analytics_warehouse,DB,Low,false
etl_pipeline,ledger_db,DB,Medium,false
etl_pipeline,order_db,DB,Medium,false
supplier_portal,supplier_db,DB,Medium,false
procurement_service,supplier_db,DB,Medium,false
procurement_service,inventory_db,DB,High,false
returns_service,returns_db,DB,Low,false
returns_service,order_service,Sync,Medium,false
customer_portal,session_store,DB,High,false
mobile_backend,session_store,DB,High,false
admin_dashboard,customer_db,DB,Medium,false
admin_dashboard,order_db,DB,High,false
admin_dashboard,inventory_db,DB,Medium,false
monolith,asset_manager,DB,Low,false
catalog_service,asset_manager,DB,Medium,false
metrics_collector,api_gateway,Sync,Low,false
metrics_collector,order_service,Sync,Low,false
metrics_collector,user_service,Sync,Low,false
log_aggregator,api_gateway,Sync,Low,false
log_aggregator,monolith,Sync,Low,false
metrics_collector,monitoring_alert,Sync,Medium,false
waf_security,monitoring_alert,Sync,High,false
