id,name,type,business_value,revenue_impact,migration_complexity,base_cost,base_duration,runtime,annual_cost
monolith,Legacy ERP & Catalog Monolith,Monolith,High,350000.0,High,500000.0,120,COBOL/Java 8,600000.0
user_service,Identity & User Access,Microservice,High,180000.0,Medium,35000.0,21,Go 1.20,40000.0
user_db,User Profiles Database,Database,High,200000.0,Medium,60000.0,30,PostgreSQL 14,80000.0
order_service,Order Processing Engine,Microservice,High,300000.0,Medium,45000.0,25,Go 1.20,55000.0
order_db,Orders Transaction Database,Database,High,300000.0,High,90000.0,45,PostgreSQL 14,120000.0
catalog_service,Product Catalog Manager,Microservice,Medium,90000.0,Low,20000.0,14,Node.js 18,25000.0
catalog_db,Product Catalog NoSQL,Database,Medium,90000.0,Medium,40000.0,20,MongoDB 6.0,45000.0
inventory_manager,Inventory Control Service,Microservice,High,150000.0,Medium,30000.0,18,Java 17 (Spring),50000.0
inventory_db,Warehouse Stock Oracle,Database,High,150000.0,High,120000.0,60,Oracle DB,180000.0
payment_adaptor,Stripe Gateway Adaptor,Microservice,High,350000.0,Low,15000.0,10,Python 3.10,20000.0
kafka_event_hub,Kafka Message Hub,Queue,Medium,120000.0,High,85000.0,40,Apache Kafka,110000.0
search_engine,ElasticSearch Indexer,Microservice,Low,15000.0,Medium,25000.0,15,ElasticSearch 8.x,35000.0
notification_service,Push Notification Dispatcher,Microservice,Low,5000.0,Low,10000.0,7,Node.js (Lambda),12000.0
recommendation_engine,AI Recommendation Service,Microservice,Low,25000.0,Medium,40000.0,25,Python 3.9 (PyTorch),30000.0
analytics_warehouse,Business Intelligence Store,Database,Low,0.0,High,150000.0,90,Snowflake,220000.0
api_gateway,Enterprise API Gateway,Microservice,High,400000.0,Low,25000.0,14,Kong / Lua,45000.0
customer_portal,Customer Web Portal,Microservice,Medium,80000.0,Low,15000.0,10,React / NextJS,15000.0
admin_dashboard,Internal Operations Console,Microservice,Low,5000.0,Low,12000.0,10,React / Vite,10000.0
mobile_backend,Mobile Backend BFF,Microservice,Medium,120000.0,Low,20000.0,12,Node.js 20,22000.0
cart_service,Active Shopping Cart,Microservice,Medium,150000.0,Low,18000.0,10,Go 1.21,18000.0
cart_cache,Cart Cache Redis,Database,Medium,150000.0,Low,10000.0,7,Redis 7.0,25000.0
pricing_engine,Dynamic Pricing Calculator,Microservice,Medium,100000.0,Medium,35000.0,20,Java 17,35000.0
