id,name,type,business_value,revenue_impact,migration_complexity,base_cost,base_duration,runtime,annual_cost
core_ledger_mainframe,Core Ledger Mainframe,Mainframe,High,284616.58,High,161254.84,95,COBOL / z/OS,446935.11
core_banking_db,Core Banking DB2 Database,Database,High,124652.14,High,196122.83,154,IBM DB2 z/OS,135983.34
general_ledger_db,General Ledger Database,Database,High,107820.43,High,339864.82,63,Oracle 19c,32180.38
account_mgmt_service,Account Management Service,Microservice,High,154451.49,Medium,102242.25,55,Java 11,25907.01
deposit_service,Deposit Processing Service,Microservice,High,287963.02,Medium,95392.98,34,Java 11,45936.72
loan_origination_service,Loan Origination Service,Microservice,High,169021.03,Medium,134316.04,30,Java 17,65851.15
loan_servicing_service,Loan Servicing Service,Microservice,High,188880.17,Medium,48657.54,41,Java 17,18176.82
interest_calc_engine,Interest Calculation Engine,Microservice,High,201576.74,High,311540.72,104,COBOL/Java Bridge,58298.08
core_banking_api_gateway,Core Banking API Gateway,Microservice,High,338281.05,Medium,117567.81,54,Kong Gateway,19986.09
swift_gateway,SWIFT Network Gateway,ThirdPartyGateway,High,375134.52,Low,6970.0,12,SWIFT Alliance Access,51470.23
ach_processor,ACH Payment Processor,Microservice,High,277926.32,Medium,133404.83,56,Java 11,25383.09
wire_transfer_service,Wire Transfer Service,Microservice,High,102257.65,Medium,109351.6,38,Java 11,88817.72
core_fraud_detection,Core Banking Fraud Detection,Microservice,High,353701.67,Medium,133978.04,44,Python 3.11,32237.89
regulatory_reporting_service,Regulatory Reporting Service,Microservice,High,283419.02,Medium,73779.86,43,Java 11,38421.66
core_event_bus,Core Banking Event Bus,Queue,High,294456.06,Medium,114218.44,24,Apache Kafka,54593.52
teller_system,Branch Teller System,Monolith,High,134764.37,High,478107.06,80,PowerBuilder/C++,238678.06
branch_middleware,Branch Middleware,Microservice,Medium,32546.61,Medium,141046.94,55,Java 8,27569.21
core_banking_cache,Core Banking Session Cache,Database,Medium,36078.38,Low,24207.84,4,Redis 7,49776.25
batch_settlement_job,Nightly Batch Settlement,Monolith,High,90272.08,High,291953.87,94,COBOL/JCL,119856.58
archive_service,Core Banking Archive Service,Microservice,Low,13783.91,Medium,98061.61,40,Java 8,27010.12
card_issuing_service,Card Issuing Service,Microservice,High,239754.0,Medium,136161.98,49,Java 17,21429.73
card_processing_engine,Card Processing Engine,Microservice,High,124681.7,High,485245.04,128,C++17,31019.33
payment_gateway_stripe,Stripe Payment Gateway,ThirdPartyGateway,High,267067.52,Low,27445.57,15,SaaS API,28099.82
payment_gateway_visanet,VisaNet Gateway,ThirdPartyGateway,High,399144.25,Low,8458.29,18,ISO 8583 API,14545.47
tokenization_service,Card Tokenization Service,Microservice,High,95077.24,Medium,43157.9,60,Go 1.21,22798.56
payments_db,Payments Transaction Database,Database,High,297753.99,Medium,101569.08,44,PostgreSQL 15,69610.51
payments_ledger_db,Payments Ledger Database,Database,High,398758.84,High,388101.46,130,Oracle 19c,131901.36
payments_fraud_ml_service,Payments Fraud ML Service,Microservice,High,83673.93,Medium,116486.62,54,Python 3.11,70070.22
dispute_management_service,Dispute Management Service,Microservice,Medium,64958.92,Medium,70821.06,38,Java 17,44781.22
merchant_onboarding_service,Merchant Onboarding Service,Microservice,Medium,44492.04,Low,28845.4,11,Node.js 20,87751.05
pos_integration_service,POS Integration Service,Microservice,Medium,64527.54,Medium,90921.8,26,Go 1.21,79641.49
payments_event_bus,Payments Event Bus,Queue,High,175502.33,Medium,106673.94,58,Apache Kafka,27929.22
settlement_batch_service,Payments Settlement Batch,Microservice,High,199652.43,Medium,49385.88,53,Java 11,83479.48
payments_cache,Payments Session Cache,Database,Medium,53931.4,Low,17215.14,6,Redis 7,140782.82
recurring_billing_service,Recurring Billing Service,Microservice,Medium,72116.92,Low,25791.64,12,Node.js 20,29156.18
payments_notification_service,Payments Notification Service,Microservice,Low,4372.2,Low,19183.92,5,Node.js 20,16852.28
chargeback_service,Chargeback Processing Service,Microservice,Medium,46589.38,Medium,38305.5,54,Java 17,71266.75
risk_scoring_service,Transaction Risk Scoring Service,Microservice,High,121085.27,Medium,87033.89,55,Python 3.11,23210.16
payments_api_gateway,Payments API Gateway,Microservice,High,248855.61,Medium,102791.27,33,Kong Gateway,84313.08
payments_reporting_service,Payments Reporting Service,Microservice,Medium,64092.24,Low,22246.69,12,Java 11,41919.38
mobile_banking_app,Mobile Banking Backend-for-Frontend,Microservice,High,294939.83,Medium,74810.46,53,Node.js 20,46118.89
web_banking_portal,Web Banking Portal Backend,Microservice,High,159329.8,Medium,37683.11,21,Java 17,57064.7
digital_onboarding_service,Digital Account Onboarding Service,Microservice,High,153636.71,Medium,56426.09,24,Node.js 20,66627.28
