source,target,type,criticality,is_discovered
frontend,ad,Sync,Low,false
frontend,cart,Sync,High,false
frontend,checkout,Sync,High,false
frontend,currency,Sync,Medium,false
frontend,product-catalog,Sync,High,false
frontend,recommendation,Sync,Medium,false
frontend,shipping,Sync,Medium,false
frontend,image-provider,Sync,Low,false
frontend,flagd,Sync,Medium,false
frontend-proxy,frontend,Sync,High,false
frontend-proxy,flagd-ui,Sync,Low,false
checkout,cart,Sync,High,false
checkout,currency,Sync,Medium,false
checkout,email,Sync,Low,false
checkout,payment,Sync,High,false
checkout,product-catalog,Sync,High,false
checkout,shipping,Sync,Medium,false
checkout,kafka,MQ,High,false
recommendation,product-catalog,Sync,Medium,false
shipping,quote,Sync,Medium,false
cart,valkey-cart,DB,High,false
product-catalog,astronomy-db,DB,High,false
accounting,kafka,MQ,Medium,false
accounting,astronomy-db,DB,Medium,false
fraud-detection,kafka,MQ,High,false
fraud-detection,flagd,Sync,Low,false
ad,flagd,Sync,Low,false
cart,flagd,Sync,Low,false
payment,flagd,Sync,Low,false
email,flagd,Sync,Low,false
product-catalog,flagd,Sync,Low,false
